fr	en	fr_sen	en_sen
de	prep.of	Deux litres de bière.	Two litres of beer.
je	pro.I	Je suis content.	I am happy.
pas	adv.not	Je ne sais pas.	I do not know.
le	art.the	C'est le weekend.	It's the weekend.
que	conj.that	Je sais que tu es là.	I know that you are there.
la	art.the	La télévision est grande.	The television is big.
tu	pro.you	Tu es content?	You are happy?
vous	pro.you (formal)	Vous êtes charmant.	You are charming.
un	art.a, an	Je veux un hamburger.	I want a hamburger.
et	conj.and	Les oranges et les bananes sont là.	The oranges and the bananas are there.
à	prep.to	Je vais à Paris.	I am going to Paris.
il	pro.he	Il est cool.	He is cool.
ne	ne and pas are used together to negate verbs	Je ne suis pas rich.	I am not rich.
les	art.the (plural)	Les fruits sont verts !	The fruit are green!
en	prep.in	Je travaille en France.	I work in France.
on	pro.we	On regarde la télévision.	We watch TV.
ça	pro.that	Ça va ?	How are you? (literally: That goes?)
ce	you?pro.	Est-ce vous ?	Is this 
pour	prep.for	J'ai un cadeau pour toi.	I have a present for you.
qui	conj pro.which	C'est qui ?	Who is it?
mais	conj.but	Je suis rich mais je ne suis pas content.	I am rich but I am not happy.
dans	prep.in	Il est dans le château.	He is in the castle.
nous	pro.we	Nous sommes raisonable.	We are reasonable.
elle	pro.she	Elle est américaine.	She is American.
bien	adv.well	Tu danses bien.	You dance well.
me	pro.myself	Je me vois dans le mirroir.	I see myself in the mirror.
si	adv conj.if	Je ne sais pas si il est là.	I do not know if he is there.
y	there	Paris ? Il y va.	Paris? He is going there. (Literally: He there goes.)
non	adv.no	Est-ce un non ?	Is it a no?
avec	prep.with	Je suis avec vous.	I am with you.
tout	adv pro.all	Il est tout à vous.	It is all yours.
plus	adv.more	Je veux plus.	I want more.
mon	det pro.my	C'est mon problème.	It's my problem.
te	pro.you	Je t'aime. 	I love you.(Note: te aime is contracted into t'aime)
moi	pro.me	Est-ce pour moi ?	Is it for me?
oui	part.yes	Oui, c'est moi.	Yes, it's me.
faire	v.to do	Je veux faire quelque chose.	I want to do something.
ils	pro.they (masculine)	Ils sont grands !	They are tall!
sur	prep.on	Elle est sur la table.	She is on the table.
quoi	pro.what	Ça fait quoi ?	What does it do?
se	pro.to himself	Il se brosse les dents.	He brushes his teeth. (literally: he to himself brushes the teeth)
comme	conj.like	C'est comme ça.	It's like that.
être	v.to be	Je veux être libre.	I want to be free.
ici	adv.here	Elle est ici.	She is here.
lui	pro.him	Elle est tout pour lui.	She is everything to him.
votre	det pro.your	C'est votre destin.	It's your destiny.
pourquoi	adv.why	Sais-tu pourquoi ?	Do you know why?
où	adv.where	Je sais où elle est.	I know where she is.
rien	pro.nothing	Je comprend rien.	I understand nothing.
là	adv.there	Je sais que tu es là.	I know you are there.
quand	adv conj.when	C'est quand, la soirée ?	It's when, the party?
dire	v.to say	Il m'a dit un truc.	He told me something.
son	det pro.his	C'est son ami.	It's his friend.
ton	det pro.your	Je suis ton frère.	I am your brother.
alors	adv.So then	Alors, ton nouveau voisin, il est comment ?	So then, your new neighbor, what is he like?
comment	adv.how	Je sais comment le faire.	I know how to do it.
par	prep.by	Par chance, je suis là.	By luck, I'm here.
ou	conj.or	As-tu dit oui ou non?	Did you say yes or no?
chose	n.thing	La meilleure chose à faire est d'appeler votre mère.	The best thing to do is to call your mother.
bon	adj.good	Le joueur de golf a un bon swing.	The golfer has a good swing.
merci	int.thanks!	J'ai bien aimé le cadeau. Merci beaucoup !	I really liked the present. Thanks a lot!
juste	adj adv.fair	Ça va être juste.	It will be fair.
très	adv.very	Très bien.	Very good.
jamais	never	It's now or never.adv.	C'est maintenant ou jamais.
avoir	v.to have	Je sais ce que vous avez fait.	I know what you have done.
vraiment	adv.really	Tu es vraiment bon.	You are really good.
aussi	adv conj.also	J'ai un frère et une sœur aussi.	I also have a brother and a sister.
voir	v.to see	Je peux te voir à 2:30.	I can see you at 2:30.
même	adj adv.same	C'est la même chose.	It's the same thing.
maintenant	adv.now	Je suis prêt maintenant.	I'm ready now.
deux	num.two	J'ai deux chats.	I have two cats.
autre	adj.other	J'aime l'autre couleur.	I like the other color.
peu	adj adv n.little	J'ai peu d'argent.	I have little money.
quelque	adj.some	He has some books to read.	Il a quelques livres à lire.
temps	n.time	Je le fais tout le temps!	I do it all the time!
toujours	adv.always	Je le fais toujours.	I always do it.
encore	adv.still	Il est encore ici.	He is still here.
notre	det pro.our	On a notre suspect.	We have our suspect.
besoin	n.need	Je vais avoir besoin de toi.	I'm going to need you.
falloir	v.to be necessary	Il faut manger maintenant.	It is necessary to eat now.
vie	n.life	La vie est comme ça.	Life is like that.
aller	v.to go	Tu dois y aller.	You have to go.
fois	n.time (instance or occurrence of something)	Il est arrivé en retard plusieurs fois.	He has arrived late several times.
sans	prep.without	Je bois toujours mon thé sans sucre.	I always drink my tea without sugar.
donc	conj.therefore	Ma sœur sait coudre, donc elle fait ses propres vêtements.	My sister can sew, therefore she makes her own clothes.
monde	n.world	Je le veux plus que tout au monde.	I want it more than anything in the world.
avant	adv prep.before	Le joueur était nerveux avant son premier match.	The player was nervous before his first match.
sûr	adj.sure	Êtes-vous sûr que tout va bien?	Are you sure everything is fine?
trop	adv.too /too much	La robe est trop petite.	The dress is too small.
parler	v.to talk	Je dois te parler de quelque chose.	I need to talk to you about something.
père	n.father	Tu es mon père.	You are my father.
après	adv prep.after	Et après ?	And after?
dieu	n.God	Je crois en Dieu.	I believe in God.
homme	n.man	Tu es un homme bon.	You are a good man.
femme	n.woman	Je pense que Dieu est une femme.	I think God is a woman.
leur	det pro.them	Je ne leur ai pas dit.	I did not tell them.
vrai	adj adv.true	Et ça a longtemps été vrai.	And that's been true for a long time.
mal	adj n.bad	C’est mal de dire ça.	It's bad to say that.
chez	prep.at the home of	On est chez nous.	We are at home.
depuis	adv prep.since	Je n'ai pas fumé depuis 2005.	I have not smoked since 2005.
déjà	adv.already	Tu as déjà fait ça.	You have already done that.
beaucoup	adv.a lot	Je bois beaucoup.	I drink a lot.
mieux	adv.better	Tu peux faire mieux que ça.	You can do better than that.
mère	n.mother	Je veux voir ta mère.	I want to see your mother.
fille	n.daughter	C'est juste une petite fille.	It's just a little girl.
gens	n.people	Qui sont ces gens?	Who are these people?
quel	adj pro.what	Quel film veux-tu voir ?	What movie do you want to see?
désolé	adj.sorry	Désolé pour ça.	Sorry for that.
voilà	int.there it is	Voilà, c'est exact.	There it is, that's right.
petit	adj.small	Le monde est petit.	The world is small.
maison	n.house	Je suis dans la maison.	I am in the house.
soir	n.evening	Elle sera là ce soir.	She will be there this evening.
cela	pro.that	J’ai pensé à cela hier.	I thought of that yesterday.
passé	adj n.past (opposite of future)	Nous avons fait quelque chose comme cela dans le passé.	We have done something like this in the past.
jour	n.day	Je vais vous en parler un jour.	I'll tell you about it one day.
prendre	v.to take	Tu peux prendre ce que tu veux.	You can take whatever you want.
monsieur	n.sir	Excusez-moi, monsieur.	Excuse me, sir.
savoir	v.to know	Je veux savoir ce que je peux faire.	I want to know what I can do.
argent	n.money	Où est votre argent?	Where's your money?
nom	n.name	Quel est votre nom?	What is your name?
nuit	n.night	Je peux le faire toute la nuit.	I can do it all night.
bonjour	int.hello	Bonjour!	Hello!
raison	n.reason	Il a raison.	He is right.
moins	adv.less	C'est moins cher.	It's less expensive.
maman	n.mom	Maman a toujours raison.	Mom is always right.
reste	n.remainder	J'ai passé le reste de la semaine à la plage.	I spent the remainder of the week at the beach.
seul	adj.only	Je suis son seul héritier.	I am his only heir.
aider	v.to help	Je suis là pour vous aider.	I am here to help you.
papa	n.dad	Papa est à la maison.	Dad is at home.
entre	prep.between	Que cela reste entre nous!	Let it stay between us!
gars	n.guy / guys	Je connais un gars qui travaille dans un restaurant.	I know a guy who works in a restaurant.
fils	n.son	Tu es toujours mon fils.	You are still my son.
trois	num.three	Où sont les trois autres?	Where are the other three?
assez	adv.enough	Vous en avez eu assez.	You have had enough.
famille	n.family	Je veux une famille.	I want a family.
trouver	v.to find	J'ai trouvé mes clés.	I found my keys.
travail	n.job	Je lui ai trouvé un travail.	I found him a job.
tête	n.head	Tout ça est dans ta tête.	This is all in your head.
voiture	n.car	Je suis dans la voiture.	I am in the car.
vite	adv.quickly	Marche vite !	Walk quickly!
partir	v.to leave	Il est temps de partir.	It is time to leave.
chance	n.luck	J'ai de la chance.	I'm lucky (literally: I have some luck)
pendant	prep.during	Pendant une semaine	During one week
idée	n.idea	Quelle idée !	What an idea!
part	n.share	Vous avez fait votre part.	You have done your part.
demain	adv.tomorrow	Je vais le voir demain.	I will see him tomorrow.
grand	adj.large	C'est un grand pays.	It's a large country.
ami	n.friend	Je suis ici avec un ami.	I am here with a friend.
venir	v.to come	Je lui ai dit de venir nous voir.	I told him to come see us.
tard	adv.late	Désolé de venir si tard.	Sorry to come so late.
passer	v.to pass	Il veut passer du temps avec son fils.	He wants to spend time with his son.
truc	n.thing	Où est le truc ?	Where's the thing?
tant	adv.so much	J'ai tant de chose à faire.	I have so much to do.
sens	n.meaning	Il a trouvé le sens du mot dans le dictionnaire.	He found the meaning of the word in the dictionary.
puis	adv.then	J'ai mangé trois gâteaux, puis j'en ai mangé un de plus !	I ate three cakes, then I ate another!
porte	n.door	Il y a un homme à la porte.	There is a man at the door.
sortir	v.to exit	Je suis sorti par la porte arrière.	I exited by the back door.
heure	n.hour	Tu as une heure.	You have an hour.
contre	prep.against	Êtes-vous pour ou contre son idée ?	Are you for or against his idea?
coup	n.hit	Le combattant a bloqué le coup avec son bras.	The fighter blocked the hit with his arm.
ensemble	adv.together	Ils sont toujours ensemble.	They are still together.
nouveau	adj.new	Tout est nouveau.	Everything is new.
amour	n.love	Je veux ton amour.	I want your love.
sous	under	Il se trouve sous votre	It can be found under your seat.
cas	n.case	Est-ce le cas ?	Is that the case?
rester	v.to stay	Restez chez vous si vous êtes malade.	Stay home if you are sick.
histoire	n.story	Quelle histoire !	What a story!
chercher	v.to search for	J'ai cherché partout, mais je n'ai pas retrouvé mes clés.	I searched everywhere, but I could not find my keys.
seulement	adv.only	Je veux seulement vous aider.	I only want to help you.
genre	n.type	Quel genre de voiture as-tu?	What kind of car do you have?
mois	n.month	Il vient ici une fois par mois.	He comes here once a month.
frère	n.brother	Il est plus grand que son frère.	He is taller than his brother.
laisser	v.to let	Ma mère m'a laissé sortir ce soir.	My mother let me go out tonight.
car	conj.because	Je suis le meilleur candidat car je sais ce qu'il faut faire.	I am the best candidate, because I know what needs to be done.
mettre	v.to place	Le garçon a mis un beau vase sur la table.	The boy placed a beautiful vase on the table.
aucun	adj.none	Aucune des tribus ne parle la même langue.	None of the tribes speak the same tongue.
ville	n.town	Nous sommes en ville.	We are in town.
chaque	adj.every	Je viens ici chaque jour.	I come here every day.
bébé	n.baby	Mon petit-fils est encore un bébé.	My grandson is still a baby.
longtemps	adv.for a long time	Le couple avait été ensemble depuis longtemps avant de se marier.	The couple had been together a long time before marrying.
ni	adv conj.nor	Je n'aime ni les pommes ni les raisins.	I like neither apples nor grapes.
voici	prep.here it is	Voici un résumé de la réunion de la semaine dernière.	Here is a summary of last week's meeting.
donner	v.to give	Je vais te donner une chance de plus.	I'll give you one more chance.
type	n.dude	Son frère est un type sympathique.	His brother is a nice dude.
corps	n.body	Le corps a des défenses naturelles contre les virus.	The body has natural defences against viruses.
endroit	n.place	Je suis dans un endroit calme.	I am in a calm place.
façon	n.way	Laisse-moi le faire à ma façon.	Let me do it my way.
dont	pro.of which	Le noir est la seule chose dont j'ai peur.	The dark is the only thing of which I'm afraid.
